Tipo de Estadística,Denominación,2005,2006,2007,2008,2009,2010
Plan Propio - Presupuesto (euros),Incentivación actividad investigadora,271000,288000,270000,315600,289720,250000
Plan Propio - Presupuesto (euros),Potenciación recursos humanos,1020000,1300000,1500000,1560000,1580292,2234716
Plan Propio - Presupuesto (euros),Movilidad y perfeccionamiento,172000,170000,180000,210000,184368,150000
Plan Propio - Presupuesto (euros),Reconocimiento actividad investigadora,69000,52000,52000,54000,52676,43500
Plan Propio - Presupuesto (euros),Acciones complementarias,340000,408912,288860,268800,316058,201784
Plan Propio - Presupuesto (euros),Ayuda transferencia resultados,0,0,0,0,210706,120000
Proyectos Investigación ,Plan Nacional: número de proyectos,95,104,109,123,105,111
Proyectos Investigación ,Plan Nacional: presupuesto (euros),6401405,7398468,8549668,10917830,9709161,8831911
Proyectos Investigación ,Plan Andaluz - Excelencia: número de proyectos,0,54,80,80,46,50
Proyectos Investigación,Plan Andaluz: presupuesto (euros),0,6294902,11833030,18659254,8703394,8097540
Proyectos Investigación ,Proyectos FIS: número de proyectos,11,8,7,3,1,8
Proyectos Investigación ,Proyectos FIS: presupuesto (euros),529345,475524,560775,300707,226028,480000
Proyectos Investigación ,Acciones Complementarias: número de proyectos,5,29,25,26,31,16
Proyectos Investigación ,Acciones Complementarias: presupuesto (euros),42000,510400,336499,249300,462400,165700
Publicaciones ISI,Nº pub. WoS (Thomson),1019,1218,1432,1526,1662,1733
Publicaciones ISI,Nº pub. Citables  WoS (Thomson),954,1080,1289,1369,1510,1609
Publicaciones ISI,Promedio de Impact Factor,"1,94","2,01","2,16","2,23","2,42","2,46"
Publicaciones ISI,Sumatorio de Impact Factor,1740,2068,2556,2793,3406,3701
Publicaciones ISI,Nº 1º Cuartil ,378,456,523,564,718,803
Publicaciones ISI,% 1º Cuartil,40%,42%,41%,41%,48%,50%
Publicaciones ISI,Nº Top3,89,104,107,119,141,129
Publicaciones ISI,% Top3,9%,10%,8%,9%,9%,8%
Publicaciones ISI,Nº Papers con Impact Factor > 5,37,33,54,72,95,98
Publicaciones ISI,Nº Papers con Impact Factor > 10,0,2,9,6,8,8
Publicaciones ISI,En Revistas JCR - Social Sciences Ed: Nº pub Citables WoS,79,89,144,138,196,231
Publicaciones ISI,En Revistas JCR - Social Sciences Ed: % 1º Cuartil,33%,36%,31%,22%,24%,27%
Publicaciones ISI,En Revistas JCR - Social Sciences Ed: % Top3,8%,6%,3%,4%,6%,4%
Publicaciones ISI,En Revistas JCR - Social Sciences Ed: Promedio de Impact Factor,"1,33","1,33","1,28","1,44","1,33","1,36"
Publicaciones ISI,En Revistas JCR - Science Ed: Nº pub Citables WoS,838,964,1070,1149,1250,1322
Publicaciones ISI,En Revistas JCR - Science Ed: % 1º Cuartil,44%,45%,45%,47%,56%,58%
Publicaciones ISI,En Revistas JCR - Science Ed: % Top3,10%,10%,10%,10%,10%,9%
Publicaciones ISI,En Revistas JCR - Science Ed: Promedio de Impact Factor,"2,01","2,06","2,27","2,33","2,59","2,64"
Recursos Humanos,Becas FPDI (junta): Docentes,0,0,0,0,36,38
Recursos Humanos,Becas FPDI (junta): Predoc en proyectos Excelencia,0,33,43,48,32,42
Recursos Humanos,Doctores en pr excelencia (junta),0,13,20,31,33,13
Recursos Humanos,Técnicos en pr excelencia (junta),0,6,20,41,39,59
Recursos Humanos,Becas FPI (ministerio),32,22,21,31,29,23
Recursos Humanos,Becas FPU (ministerio),62,73,73,70,90,79
Recursos Humanos,Incorporación de doctores (ministerio): Juan de la Cierva,7,7,4,8,11,9
Recursos Humanos,Incorporación de doctores (ministerio): Ramón y Cajal,8,12,8,8,9,9
Recursos Humanos,Personal Técnico de apoyo (ministerio),6,10,10,4,7,8
Recursos Humanos,Plan Propio de Investigación UGR: Contratos Puente,44,52,52,64,74,52
Recursos Humanos,Plan Propio de Investigación UGR: Posdoctorales ,8,13,10,8,10,8
Recursos Humanos,Plan Propio de Investigación UGR: Predoctorales,18,14,23,14,15,12
Recursos Humanos,Plan Propio de Investigación UGR: Reincorporación,0,0,3,8,8,7
Recursos Humanos Acumulado,Becas FPU,204,208,216,206,261,273
Recursos Humanos Acumulado,Becas FPI,77,85,69,70,90,87
Recursos Humanos Acumulado,Contrato de Investigación con cargo a...,218,190,273,246,229,211
Recursos Humanos Acumulado,Contrato Personal Técnico con cargo a...,65,67,146,177,149,125
