País,Universidad,Enviados (movilidad aceptada) 2013/2014
Argentina,Universidad de la Matanza,2
Argentina,Universidad de Buenos Aires,3
Argentina,Universidad Nac. Tres de Febrero,2
Argentina,Universidad Nacional de Salta,1
Argentina,Universidad Nacional del  Litoral,1
Australia,University of Technology Sidney,1
Brasil,Universidade Federal do Ceara,2
Brasil,Universidade Federal do Paraná‐Setor Litoral,1
Brasil,Universidade Federal do Rio Grande do Sul,1
Brasil,Universidad Federal de Santa María,1
Chile,Universidad de Chile,1
Chile,Pontificia Universidad Católica de Valparaíso,2
Chile,Universidad de Talca,1
Colombia,Fac. BB. Artes‐Univ. Nac. De Colombia,1
Colombia,Universidad Tecnológico de Pereira,1
Colombia,Universidad de los Andes,3
Colombia,Universidad Externado de Colombia,1
Colombia,Universidad del Norte,1
Costa Rica,Universidad Nacional de Costa Rica,1
Estados Unidos,Montclair State University,1
Marruecos,Universidad Cadi Ayyad,1
Marruecos,Universidad Abdelmalek Essaadi de Tetuán,1
México,Universidad de Aguascalientes,1
México,Universidad del Caribe,1
México,Universidad Nacional de México,2
México,Universidad Veracruzana,1
Nicaragua,Universidad Nacional Autónoma de Nicaragua,3
Panamá,Universidad  Tecnológica de Panamá,1
Paraguay,Universidad Nacional de  Asunción,1
Perú,Universidad Ricardo Palma,2
Perú,Pontificia Católica Universidad del Perú,3
Perú,Comisión Nacional DEVIDA,1
Perú,Universidad Nacional de San Antonio Abad del Cusco,1
Venezuela,Universidad Centroccidental Lisandro Alvarado (UCLA),2
Rusia,Universidad Estatal Lingüística de Moscú,2
Rusia,Universidad Estatal Lomonosov de Moscú,1
,Total,52
